"County","State","Median Property Taxes Paid by County, 2021 (5-year estimate)"
"Wilcox County","Alabama","278"
"Winston County","Alabama","325"
"Aleutians East Borough","Alaska",""
"Aleutians West Census Area","Alaska","3036"
"Anchorage Municipality","Alaska","4407"
"Bethel Census Area","Alaska",""
"Bristol Bay Borough","Alaska","2214"
"Chugach Census Area","Alaska","2704"
"Copper River Census Area","Alaska",""
"Denali Borough","Alaska",""
"Dillingham Census Area","Alaska","2128"
"Fairbanks North Star Borough","Alaska","3234"
"Haines Borough","Alaska","2573"
"Hoonah-Angoon Census Area","Alaska","1583"
"Juneau City and Borough","Alaska","3610"
"Kenai Peninsula Borough","Alaska","1759"
"Ketchikan Gateway Borough","Alaska","2551"
"Kodiak Island Borough","Alaska","3436"
"Kusilvak Census Area","Alaska","200"
"Lake and Peninsula Borough","Alaska",""
"Matanuska-Susitna Borough","Alaska","3201"
"Nome Census Area","Alaska","2205"
"North Slope Borough","Alaska","1552"
"Northwest Arctic Borough","Alaska","200"
"Petersburg Borough","Alaska","1864"
"Prince of Wales-Hyder Census Area","Alaska","864"
"Sitka City and Borough","Alaska","1941"
"Skagway Municipality","Alaska","1413"
"Southeast Fairbanks Census Area","Alaska","1719"
"Wrangell City and Borough","Alaska","1396"
"Yakutat City and Borough","Alaska","1176"
"Yukon-Koyukuk Census Area","Alaska","725"
"Apache County","Arizona","522"
"Cochise County","Arizona","1263"
"Coconino County","Arizona","1748"
"Gila County","Arizona","1315"
"Graham County","Arizona","990"
"Greenlee County","Arizona","383"
"La Paz County","Arizona","780"
"Maricopa County","Arizona","1734"
"Mohave County","Arizona","1081"
"Navajo County","Arizona","986"
"Pima County","Arizona","1968"
"Pinal County","Arizona","1426"
"Santa Cruz County","Arizona","1243"
"Yavapai County","Arizona","1528"
"Yuma County","Arizona","1177"
"Arkansas County","Arkansas","658"
"Ashley County","Arkansas","492"
"Baxter County","Arkansas","717"
"Benton County","Arkansas","1442"
"Boone County","Arkansas","818"
"Bradley County","Arkansas","530"
"Calhoun County","Arkansas","431"
"Carroll County","Arkansas","928"
"Chicot County","Arkansas","458"
"Clark County","Arkansas","757"
"Clay County","Arkansas","399"
"Cleburne County","Arkansas","731"
"Cleveland County","Arkansas","596"
"Columbia County","Arkansas","575"
"Conway County","Arkansas","586"
"Craighead County","Arkansas","923"
"Crawford County","Arkansas","826"
"Crittenden County","Arkansas","798"
"Cross County","Arkansas","513"
"Dallas County","Arkansas","466"
"Desha County","Arkansas","457"
"Drew County","Arkansas","579"
"Faulkner County","Arkansas","1083"
"Franklin County","Arkansas","570"
"Fulton County","Arkansas","430"
"Garland County","Arkansas","845"
"Grant County","Arkansas","668"
"Greene County","Arkansas","759"
"Hempstead County","Arkansas","467"
"Hot Spring County","Arkansas","576"
"Howard County","Arkansas","598"
"Independence County","Arkansas","594"
"Izard County","Arkansas","576"
"Jackson County","Arkansas","402"
"Jefferson County","Arkansas","614"
"Johnson County","Arkansas","629"
"Lafayette County","Arkansas","387"
"Lawrence County","Arkansas","396"
"Lee County","Arkansas","411"
"Lincoln County","Arkansas","533"
"Little River County","Arkansas","469"
"Logan County","Arkansas","581"
"Lonoke County","Arkansas","1025"
"Madison County","Arkansas","535"
"Marion County","Arkansas","796"
"Miller County","Arkansas","830"
"Mississippi County","Arkansas","596"
"Monroe County","Arkansas","395"
"Montgomery County","Arkansas","530"
"Nevada County","Arkansas","458"
"Newton County","Arkansas","573"
"Ouachita County","Arkansas","472"
"Perry County","Arkansas","616"
"Phillips County","Arkansas","397"
"Pike County","Arkansas","537"
"Poinsett County","Arkansas","476"
"Polk County","Arkansas","499"
"Pope County","Arkansas","814"
"Prairie County","Arkansas","458"
"Pulaski County","Arkansas","1398"
"Randolph County","Arkansas","397"
"St. Francis County","Arkansas","436"
"Saline County","Arkansas","1204"
"Scott County","Arkansas","435"
"Searcy County","Arkansas","481"
"Sebastian County","Arkansas","954"
"Sevier County","Arkansas","512"
"Sharp County","Arkansas","472"
"Stone County","Arkansas","441"
"Union County","Arkansas","555"
"Van Buren County","Arkansas","529"
"Washington County","Arkansas","1294"
"White County","Arkansas","663"
"Woodruff County","Arkansas","567"
"Yell County","Arkansas","738"
"Alameda County","California","6873"
"Alpine County","California","3325"
"Amador County","California","2455"
"Butte County","California","2374"
"Calaveras County","California","2758"
"Colusa County","California","2064"
"Contra Costa County","California","6068"
